RIC,Full Name
DELTA.BK,Delta Electronics
AOT.BK,Airports of Thailand
PTT.BK,PTT
ADVANC.BK,Advanced Information Service
GULF.BK,Gulf Energy Development
BDMS.BK,Bangkok Dusit Medical Services
CPALL.BK,CP All
PTTEP.BK,PTT Exploration and Production
SCB.BK,SCB X Public Company Limited
SMT.BK,Stars Microelectronics
TRUE.BK,True Corporation
2S.BK,2S Metal
3BBIFu.BK,3BB Internet Infrastructure
AH.BK,Aapico Hitech
ACE.BK,Absolute Clean Energy
ADDm.BK,Addtech Hub
ACC.BK,Advanced Connection Corporation
AIT.BK,Advanced Information Technology
ADVICE.BK,Advice IT Infinite
AEONTS.BK,Aeon Thana Sinsap (Thailand)
TRPm.BK,Aesthetic Connect
AUm.BK,After You
APURE.BK,Agripure Holdings
AIE.BK,AI Energy
AMARCm.BK,Asia Medical and Agricultural Laboratory and Research Center
AHC.BK,Aikchol Hospital
AIMCGu.BK,AIM Commercial Growth Freehold and Leasehold REIT
AIMIRTu.BK,AIM Industrial Growth Freehold and Leasehold REIT
AIRAm.BK,Aira Capital
AFm.BK,Aira Factoring
AJA.BK,AJ Advance Technology ORS
AJ.BK,AJ Plast
AKPm.BK,Akkhie Prakarn
AKS.BK,AKS Corporation
AE.BK,All Energy and Utilities
ALLA.BK,Alla
AYUD.BK,Allianz Ayudhya Capital
ALLYu.BK,Ally Freehold and Leasehold REIT Units
ALPHAXm.BK,Alpha Divisions
ALT.BK,Alternative Telecom
ALUCON.BK,Alucon
AMAm.BK,AMA Marine
AMANAH.BK,Amanah Leasing
AMARIN.BK,Amarin Corporations
AMATA.BK,Amata
AMATARu.BK,Amata Summit Growth Freehold and Leasehold REIT
AMATAV.BK,Amata VN
AMR.BK,AMR Asia
ANAN.BK,Ananda Development
AP.BK,AP (Thailand)
APPm.BK,Applicad Public Company Limited
ADBm.BK,Applied DB
AQUA.BK,Aqua
A.BK,Areeya Property
ARINm.BK,Arinsiri Land
ARIPm.BK,Arip
ARROWm.BK,Arrow Syndicate
ASEFA.BK,Asefa
AAV.BK,Asia Aviation
ABMm.BK,Asia Biomass
ACAPm.BK,Asia Capital Group
AFC.BK,Asia Fiber
AGE.BK,Asia Green Energy
ASIA.BK,Asia Hotel
ASIAN.BK,Asia Hotel NVDR
AMC.BK,Asia Metal
ANI.BK,Asia Network International
ASP.BK,Asia Plus Group Holdings
APCS.BK,Asia Precision
ASK.BK,Asia Sermkij Leasing
AAI.BK,Asian Alliance International
AI.BK,Asian Insulators
ASIMAR.BK,Asian Marine Services
APOm.BK,Asian Palm Oil
APCO.BK,Asian Phytoceuticals
ASNm.BK,ASN Broker
AS.BK,Asphere Innovations
A5.BK,Asset Five Group
AWC.BK,Asset World
ASW.BK,Assetwise
ATP30m.BK,ATP30
AURA.BK,Aurora Design
ACG.BK,Autocorp Holding
AXTRARTu.BK,Axtra Future City Freehold and Leasehold Real Estate Investment Trust
BGRIM.BK,B Grimm Power
B52.BK,B-52 Capital
BAREITu.BK,BA Airport Leasehold REIT
BROCK.BK,Baan Rock Garden
BCP.BK,Bangchak Corporation ORS
BSRC.BK,Bangchak Sriracha
BA.BK,Bangkok Airway
BBL.BK,Bangkok Bank
BCH.BK,Bangkok Chain Hospital
BAM.BK,Bangkok Commercial Asset Management
BKD.BK,Bangkok December-Con
BEM.BK,Bangkok Expressway and Metro
BKGI.BK,Bangkok Genomics Innovation
BLC.BK,Bangkok Lab and Cosmetic
BLAND.BK,Bangkok Land
BLA.BK,Bangkok Life Assurance
BR.BK,Bangkok Ranch
BMm.BK,Bangkok Sheet Metal
BUI.BK,Bangkok Union Insurance
BSBM.BK,Bangsaphan Barmill
BAY.BK,Bank of Ayudhya
BANPU.BK,Banpu
BPP.BK,Banpu Power
BBGI.BK,Bbgi
BCPG.BK,BCPG
BEAUTY.BK,Beauty Community
BEC.BK,BEC World
B.BK,Begistics ORS
BJC.BK,Berli Jucker
BE8m.BK,Beryl 8 Plus
BTG.BK,Betagro
BWG.BK,Better World Green
BYD.BK,Beyond Securities
BGC.BK,BG Container Glass Public
BAFS.BK,Bangkok Aviation Fuel Services
BGTm.BK,BGT
BOFFICEu.BK,Bhiraj Office Leasehold REIT
BIG.BK,Big Camera
BIOTEC.BK,Bio Green Energy Technology
BISm.BK,Bioscience Animal Health
BCT.BK,Birla Carbon
BJCHI.BK,BJC Heavy Industries
BKIH.BK,BKI Holdings
BLESSm.BK,Bless Asset Group
BLISS.BK,Bliss Intelligence
BBIKm.BK,Bluebik Group
BVGm.BK,Blueventure Group
BEYOND.BK,Bound and Beyond
BCm.BK,Boutique Corporation
BTNC.BK,Boutique New City
BPSm.BK,BPS Technology
BRI.BK,Britania
BTWm.BK,BT Wealth Industries
BTS.BK,BTS Group Holdings
BTSGIFu.BK,BTS RAL Msti Growth Infrastructure
B-WORKu.BK,Bualuang Office Leasehold REIT
BSMm.BK,Buildersmart
BH.BK,Bumrungrad Hospital
BRRGIFu.BK,Buriram Sugar Group PWPL Infrastructure
BRR.BK,Buriram Sugar
BIZ.BK,Business Alignment
BOLm.BK,Business Online
CPTREITu.BK,C P Tower Real Estate Investment Trust
CCET.BK,Cal-Comp Electronics (Thailand)
CEN.BK,Capital Engineering Network
CBG.BK,Carabao Group
CPH.BK,Castle Peak Holdings
CAZm.BK,CAZ Thailand Public
CTARAFu.BK,Centara Hotels and Resorts Leasehold Property
CPN.BK,Central Pattana
CENTEL.BK,Central Plaza Hotel
CRC.BK,Central Retail Corporation
CK.BK,CH Karnchang
CWT.BK,Chai Watana Tannery
CEYEm.BK,Chamni S Eye
CMC.BK,Chaoprayamahanakorn
CHAO.BK,Chaosua Foods Industry
CHARAN.BK,Charan Insurance
CI.BK,Charn Issara Development
CPF.BK,Charoen Pokphand Foods
CTW.BK,Charoong Thai Wire Cable
CHASE.BK,Chase Asia
CHAYO.BK,Chayo Group
CMAN.BK,Chememanord
CHEWAm.BK,Chewathai
CMR.BK,Chiang Mai Ram Medical Business
CM.BK,Chiangmai Frozen Foods
CRDm.BK,Chiangmai Rimdoi
CHICm.BK,Chic Republic
CH.BK,Chin Huay
CHOm.BK,CHO Thavee
CCP.BK,Chonburi Concrete Product
CHOWm.BK,Chow Steel Industries
CNT.BK,Christiani and Nielsen
CRANE.BK,Chu Kai
CHG.BK,Chularat Hospital
CPI.BK,Chumporn Palm Oil Industry
CFARMm.BK,Chuwit Farm 2019
CIGm.BK,CI Group
CIMBT.BK,CIMB Thai Bank
CSR.BK,City Sports and Recreation
CITY.BK,City Steel
CIVIL.BK,Civil Engineering
CKP.BK,CK Power
KOOLm.BK,Class Venture
CV.BK,Clover Power
CMOm.BK,CMO
COM7.BK,COM7
COMANm.BK,Comanche International
CSS.BK,Communication and System Solution
CPW.BK,Copperwired
CGD.BK,Country Group Development
CGH.BK,Country Group Holdings
CPAXT.BK,CP Axtra Public
CPANELm.BK,Cpanel
CPL.BK,CPL Group
CPNCGu.BK,CPN Commercial Growth Leasehold Property
