RIC,Full Name
ORI_f,Origin Property Foreign Board
OSP_f,Osotspa Foreign Board
PATO_f,Pato Chemical Industry Foreign Board
PEACE_f,Peace and Living Foreign Board
PIN_f,Pinthong Industrial Foreign Board Park
PLANB_f,Plan B Media Foreign Board
PDJ_f,Pranda Jewelry Foreign Board
PR9_f,Praram 9 Hospital Foreign Board
PSL_f,Precious Shipping Foreign Board
PM_f,Premier Marketing Foreign Board
PTC_mf,Premier Tank Foreign Board
PRM_f,Prima Marine Foreign Board
PRINC_f,Principal Capital Foreign Board
PRIN_f,Prinsiri Foreign Board
PROEN_mf,Proen Foreign Board
PPS_mf,Project Planning Foreign Board Service
PF_f,Property Perfect Foreign Board
PROS_mf,Prosper Engineering Foreign Board
PSH_f,Pruksa Holding Foreign Board
PTG_f,Participating Energy Foreign Board
PTTEP_f,PTT Exploration and Foreign Board Production
PTT_f,PTT Foreign Board
PTTGC_f,PTT Global Chemical Foreign Board
OR_f,PTT Oil and Retail Foreign Board Business
QTC_f,QTC Energy Foreign Board
QLT_mf,Qualitech Foreign Board
QH_f,Quality Houses Foreign Board
RBF_f,R&B Food Supply Foreign Board
RABBIT_f,Rabbit Holdings Foreign Board
RML_f,Raimon Land Foreign Board
RJH_f,Rajthanee Hospital Foreign Board Public
RATCH_f,Ratch Group Public Company Limited Foreign Board
THANI_f,Ratchthani Leasing Foreign Board
RCL_f,Regional Container Foreign Board Lines
ROJNA_f,Rojana Industrial Foreign Board Park
PLUS_f,Royal Plus Foreign Board
RS_f,RS Foreign Board
SHR_f,S Hotels and Foreign Board Resorts
SPI_f,Saha Pathana Inter- Foreign Board Holding
SMIT_f,Sahamit Machinery Foreign Board
SAK_f,Saksiam Leasing Foreign Board
SAMART_f,Samart Foreign Board
SIRI_f,Sansiri Foreign Board
SAPPE_f,Sappe Foreign Board
SCB_f,SCB X Public Foreign Board Company Limited
SCGP_f,SCG Packaging Foreign Board
SJWD_f,SCGJWD Logistics Foreign Board
CFRESH_f,Seafresh Industry Foreign Board
SELIC_f,Selic Foreign Board
SSP_f,Sermsang Power Foreign Board Corporation
SFT_mf,Shrinkflex Foreign Board (Thailand)
SCC_f,Siam Cement Foreign Board
SCCC_f,Siam City Cement Foreign Board
GLOBAL_f,Siam Global House Foreign Board
STECH_f,Siam Technic Foreign Board Concrete
SICT_mf,Silicon Craft Foreign Board Technology
SIMAT_mf,Simat Technologies Foreign Board
S_f,Singha Estate Foreign Board
SISB_f,Sisb Foreign Board
SKY_f,Sky ICT Foreign Board
SMART_mf,Smart Concrete Foreign Board
SAT_f,Somboon Advance Foreign Board Technology
SPCG_f,SPCG Foreign Board
STGT_f,Sri Trang Gloves Foreign Board (Thailand)
STA_f,Sri Trang-Agro Foreign Board Industry
SNNP_f,Srinanaporn Foreign Board Marketing Public Company Limited
SRICHA_f,Sriracha Foreign Board Construction
SAWAD_f,Srisawad Foreign Board Corporation
VIH_f,Srivichai Vejvivat Foreign Board
STPI_f,STP and I Foreign Board
SSTRTv,Sub Sri Thai REIT Foreign Board Unit
SPALI_f,Supalai Foreign Board
SSF_f,Surapon Foods Foreign Board
SUSCO_f,Susco Foreign Board
TKN_f,Taokaenoi Food and Foreign Board Marketing
TEAMG_f,Team Consulting Engineering and Foreign Board Management
THAI_f,Thai Airways International Foreign Board
TCC_f,Thai Capital Foreign Board
TEGH_f,Thai Eastern Group Foreign Board Holdings
TLI_f,Thai Life Insurance Foreign Board
TNR_f,Thai Nippon Rubber Foreign Board Industry
TOP_f,Thai Oil Foreign Board
TSE_f,Thai Solar Energy Foreign Board
STANLY_f,Thai Stanley Foreign Board Electric
TFM_f,Thai Union Feedmill Foreign Board
TU_f,Thai Union Group Foreign Board
TVO_f,Thai Vegetable Oil Foreign Board
TWPC_f,Thai Wah Foreign Board
THCOM_f,Thaicom Foreign Board
TFG_f,Thaifoods Group Foreign Board
TFFIFv,Thailand Future Foreign Board
TCAP_f,Thanachart Capital Foreign Board
BTC_mf,The Brooker Group Foreign Board
TTA_f,Thoresen Thai Agency Foreign Board
TASCO_f,Tipco Asphalt Foreign Board
TTB_f,Tmbthanachart Bank Foreign Board
TOA_f,Toa Paint Thailand Foreign Board
TPIPL_f,TPI Polene Foreign Board
TPIPP_f,TPI Polene Power Foreign Board
TQM_f,TQM Alpha Foreign Board
TNPFv,Trinity FHLH Property Fund Foreign Board
TTCL_f,TTCL Foreign Board
TTW_f,TTW Foreign Board
TKC_f,Turnkey Foreign Board Communication Services
UBE_f,Ubon Bio Ethanol Foreign Board
AUCT_mf,Union Auction Foreign Board
UNIQ_f,Unique Engineering Foreign Board and Construction
UVAN_f,Univanich Palm Oil Foreign Board
UV_f,Univentures Foreign Board
VNG_f,Vanachai Group Foreign Board
VRANDA_f,Veranda Resort Foreign Board
VGI_f,VGI Foreign Board
VIBHA_f,Vibhavadi Medical Foreign Board
NEW_f,Wattana Karnpaet Foreign Board
WHA_f,Wha Foreign Board
WHARTv,Wha Premium Growth Freehold and Foreign Board Leasehold REIT
WHAUP_f,Wha Utilities and Foreign Board Power
WINMED_mf,Winnergy Medical Foreign Board
WORK_f,Workpoint Foreign Board Entertainment
WFX_f,World Flex Foreign Board
W_f,Wow Factor Foreign Board
WP_f,WP Energy Foreign Board
XPG_f,Xspring Capital Foreign Board
YGG_mf,Yggdrazil Group Foreign Board
ZIGA_mf,Ziga Innovation Foreign Board
BABA80x,BABA80 CS DR
BYDCOM80x,BYD Company CS DR
TENCENT80x,TENCENT80 CS DR
XIAOMI80x,Xiaomi Corporation CS DR
