RIC,Full Name
AOT_f,Airports of Thailand Foreign Board
AJ_f,AJ Plast Foreign Board
AKS_f,AKS Corporation Foreign Board
AE_f,All Energy and Foreign Board Utilities
ALT_f,Alternative Telecom Foreign Board
ALUCONz,Alucon Foreign Board
AMANAH_f,Amanah Leasing Foreign Board
AMATA_f,Amata Foreign Board
AMATARv,Amata Summit Growth Freehold and Foreign Board Leasehold REIT
AMR_f,AMR Asia Foreign Board
ANAN_f,Ananda Development Foreign Board
AP_f,AP (Thailand) Foreign Board
APP_mf,Applicad Public Company Limited Foreign Board
ADB_mf,Applied DB Foreign Board
AQUA_f,Aqua Foreign Board
AAV_f,Asia Aviation Foreign Board
AFC_f,Asia Fiber Foreign Board
ASIA_f,Asia Hotel Foreign Board
ASP_f,Asia Plus Group Holdings Foreign Board
ASK_f,Asia Sermkij Leasing Foreign Board
ASIMAR_f,Asian Marine Services Foreign Board
ASIAN_f,Asian Sea Foreign Board Corporation
AWC_f,Asset World Foreign Board
ASW_f,Assetwise Foreign Board
ACG_f,Autocorp Holding Foreign Board
BGRIM_f,B Grimm Power Foreign Board
BCP_f,Bangchak Foreign Board Corporation ORS
BA_f,Bangkok Airways Foreign Board
BBL_f,Bangkok Bank Foreign Board
BCH_f,Bangkok Chain Hospital Foreign Board
BAM_f,Bangkok Commercial Foreign Board Asset Management
BDMS_f,Bangkok Dusit Medical Services Foreign Board
BEM_f,Bangkok Expressway Foreign Board and Metro
BLAND_f,Bangkok Land Foreign Board
BLA_f,Bangkok Life Assurance Foreign Board
BUI_f,Bangkok Union Insurance Foreign Board
BSBM_f,Bangsaphan Barmill Foreign Board
BAY_f,Bank of Ayudhya Foreign Board
BANPU_f,Banpu Foreign Board
BPP_f,Banpu Power Foreign Board
BBGI_f,Bbgi Foreign Board
BCPG_f,BCPG Foreign Board
BEC_f,BEC World Foreign Board
BJC_f,Berli Jucker Foreign Board
BTG_f,Betagro Foreign Board
BWG_f,Better World Green Foreign Board
BGC_f,BG Container Glass Foreign Board Public
BLESS_mf,Bless Asset Group Foreign Board
BRI_f,Britania Foreign Board
BTS_f,BTS Group Holdings Foreign Board
BTSGIFv,BTS RAL Msti Growth Foreign Board Infrastructure
B-WORKv,Bualuang Office Foreign Board Leasehold REIT
BH_f,Bumrungrad Hospital Foreign Board
BRRGIFv,Buriram Sugar Group Foreign Board PWPL Infrastructure
CBG_f,Carabao Group Foreign Board
CAZ_mf,CAZ Thailand Public Foreign Board
CPN_f,Central Pattana Foreign Board
CENTEL_f,Central Plaza Hotel Foreign Board
CRC_f,Central Retail Foreign Board Corporation
CK_f,CH Karnchang Foreign Board
CEYE_mf,Chamni S Eye Foreign Board
CI_f,Charn Issara Development Foreign Board
CPF_f,Charoen Pokphand Foods Foreign Board
CTW_f,Charoong Thai Wire Cable Foreign Board
CHAYO_f,Chayo Group Foreign Board
CMAN_f,Chememanord Foreign Board
CH_f,Chin Huay Foreign Board
CHG_f,Chularat Hospital Foreign Board
CPI_f,Chumporn Palm Oil Industry Foreign Board
CKP_f,CK Power Foreign Board
COM7_f,COM7 Foreign Board
CPW_f,Copperwired Foreign Board
CGH_f,Country Group Foreign Board Holdings
CPALL_f,CP All Foreign Board
CPANEL_mf,Cpanel Foreign Board
CPT_f,Concepts Drives and Foreign Board Power
DPAINT_mf,Delta Paint Foreign Board
DEMCO_f,Demco Foreign Board
DHOUSE_mf,Dhouse Pattana Foreign Board
DIFv,Digital Telecommunications Ifcf Foreign Board
DITTO_f,Ditto (Thailand) Foreign Board
DDD_f,Do Day Dream Foreign Board
DOD_mf,DOD Biotechnology Foreign Board
DMT_f,Don Muang Tollway Foreign Board
DTCENT_f,DTC Enterprise Foreign Board
DREITv,Dusit Thani Freehold and Foreign Board Leasehold REIT
