Ticker,Price Change (%),RS Score,Color
GLOCON,-16.249999999999996,12,Red
GLORYm,0.12822376160694926,56,Red
GPI,-0.5780346820809301,51,Red
GPSC,22.68907563025211,94,Green
GRAMMY,-8.92857142857143,24,Red
GRAND,4.545454545454541,73,Yellow
GREEN,-23.026315789473696,6,Red
GROREITu,1.5544041450777257,61,Yellow
GSTEEL,-43.75,2,Red
GTBm,2.77777777777779,67,Yellow
GTVm,-8.695652173913048,25,Red
GULF,10.499999999999998,85,Green
GULF_f,38.25280732270342,97,Green
GUNKUL,5.000000000000004,75,Yellow
GVREITu,2.2471910112359383,65,Yellow
GYT,3.370786516853941,69,Yellow
HANA,43.05555555555556,97,Green
HARNm,6.666666666666665,79,Yellow
HEALTHm,-45.49999999999999,2,Red
HENG,-2.6490066225165587,43,Red
HFT,0.0,54,Red
HLm,0.819672131147553,58,Red
HMPRO,11.51079136690647,86,Green
HMPRO_f,-3.8461538461538436,39,Red
HPFu,0.8583690811874156,58,Red
HPTm,-20.000000000000007,9,Red
HTC,-5.0847457627118615,35,Red
HTECH,1.0101010101010166,60,Yellow
HUMAN,-3.4782608695652195,40,Red
HYDROm,-1.0204081418325184,49,Red
ICC,8.064516129032251,81,Green
ICHI,9.708737864077666,84,Green
ICN,-3.535353535353536,40,Red
IFS,4.195804195804209,72,Yellow
IHL,-2.92397660818714,42,Red
IIGm,-13.823352616056916,15,Red
III,0.02380490781195288,56,Red
ILINK,-12.0253164556962,19,Red
ILM,9.411764705882364,83,Green
IMHm,9.565217391304337,84,Green
IMPACTu,1.6393442622950838,62,Yellow
INDm,-2.3668639053254448,44,Red
INET,-7.2072072072072,29,Red
INETREITu,-2.564102564102566,44,Red
INGRS,-16.176470588235304,12,Red
INOX,-15.833333333333332,13,Red
INSET,-13.513513513513509,16,Red
INSURE,0.8888888888888946,59,Red
INTUCH,11.151079136690644,86,Green
INTUCH_f,36.563876651982376,96,Green
IP,-8.64197530864198,25,Red
IRC,1.4285714285714235,61,Yellow
IRCPm,-29.166666666666664,4,Red
IRPC,-1.3071895424836666,48,Red
IRPC_f,98.0,98,Green
IT,-13.818181818181818,15,Red
ITD,-2.5510204081632626,44,Red
ITEL,-9.595959595959592,23,Red
IVL,2.515723270440251,66,Yellow
J,-5.882352941176472,32,Red
JAKm,-4.575163398692816,36,Red
JAS,-13.38582677165354,16,Red
JCK,-22.499999999999996,7,Red
JCKHm,-23.529411764705888,6,Red
JCT,-2.777777777777779,43,Red
JDF,-11.976047904191612,19,Red
JKN,15.909090909090917,91,Green
JMART,-13.756613756613756,15,Red
JMT,6.153846153846154,78,Yellow
JR,1.4084507042253502,61,Yellow
JSPm,4.022988505747138,71,Yellow
JTS,-29.600000000000005,4,Red
JUBILEm,-4.385964912280704,37,Red
KAMART,34.7457627118644,96,Green
KASETm,-11.111111111111105,20,Red
KBANK,0.6825938566553003,57,Red
KBANK_f,3.157894736842115,69,Yellow
KBS,20.238095238095234,93,Green
KBSPIFu,-1.7391304347825987,46,Red
KC,-22.222222222222232,7,Red
KCAR,-3.351955307262555,41,Red
KCE,8.139534883720923,82,Green
KDH,4.2134831460674205,72,Yellow
KEX,-1.0752688172043112,49,Red
KGENm,-17.886178861788615,11,Red
KGI,3.734439834024883,70,Yellow
KIAT,6.666666666666665,79,Yellow
KISS,-10.994764397905765,20,Red
KKC,-25.0,5,Red
KKP,4.6099290780141855,73,Yellow
KKP_f,149.15254237288136,99,Green
KKm,-8.888888888888902,25,Red
KOOLm,-14.035087719298245,15,Red
KSL,-7.499999999999996,28,Red
KTB,4.7337278106508895,74,Yellow
KTBSTMRu,1.7045454545454364,62,Yellow
KTB_f,72.81553398058252,98,Green
KTC,3.96475770925111,71,Yellow
KTIS,-5.213270142180093,34,Red
KUMWELm,-10.655737704918023,21,Red
KUN,-5.51181102362206,34,Red
KWC,-3.543307086614178,40,Red
KWI,-25.789473684210527,5,Red
KWMm,0.8264462809917328,58,Red
KYE,0.31055900621117516,56,Red
Km,-20.496894409937894,9,Red
LALIN,2.824858757062154,67,Yellow
LANNA,-8.290155440414516,27,Red
LDCm,-6.451612903225811,31,Red
